"artist";"title";"day";"hour"
"Patrick Bruel";"Qui A Le Droit";"2020-04-05";"18:34"
"Laurent Voulzy";"Belle Ile En Mer";"2020-04-05";"18:27"
"Sam Brown";"Stop";"2020-04-05";"18:17"
"Christine And The Queens";"Christine";"2020-04-05";"18:13"
"Pretenders";"I'll Stand By You";"2020-04-05";"18:09"
"Amir";"Longtemps";"2020-04-05";"18:06"
"Bob Marley";"No Woman No Cry";"2020-04-05";"18:02"
"Elton John";"Don't Go Breaking My Heart";"2020-04-05";"17:43"
"Les Innocents";"Colore";"2020-04-05";"17:36"
"Beyonce";"Halo";"2020-04-05";"17:32"
"Les Frangines";"Donnez-Moi";"2020-04-05";"17:21"
"Bonnie Tyler";"It's A Heartache";"2020-04-05";"17:18"
"Amy Winehouse";"You Know I'm No Good";"2020-04-05";"17:10"
"Francis Cabrel";"Je L'aime A Mourir";"2020-04-05";"17:08"
"Zucchero Et Paul Young";"Senza Una Donna";"2020-04-05";"17:00"
"Trois Cafes Gourmands";"A Nos Souvenirs";"2020-04-05";"16:53"
"Fugees";"Killing Me Softly";"2020-04-05";"16:49"
"Patrick Swayze";"She's Like The Wind";"2020-04-05";"16:42"
"Maroon 5";"Girls Like You";"2020-04-05";"16:38"
"Laurent Voulzy";"Le Pouvoir Des Fleurs";"2020-04-05";"16:35"
"Jermaine Jackson";"When The Rain Begins To Fall";"2020-04-05";"16:27"
"Gerald De Palmas";"Une Seule Vie";"2020-04-05";"16:21"
"The Bangles";"Eternal Flame";"2020-04-05";"16:14"
"Angele";"Balance Ton Quoi";"2020-04-05";"16:10"
"Sixpence None The Richer";"Kiss Me";"2020-04-05";"16:07"
"Queen";"We Are The Champions";"2020-04-05";"16:00"
"Telephone";"Le Jour S'est Leve";"2020-04-05";"15:51"
"Ellie Goulding";"Love Me Like You Do";"2020-04-05";"15:47"
"Marc Lavoine";"J'ai Tout Oublie";"2020-04-05";"15:43"
"Whitney Houston";"I'm Every Woman";"2020-04-05";"15:39"
"Eurythmics";"Sweet Dreams (Are Made Of This)";"2020-04-05";"15:30"
"Amel Bent";"Ou Je Vais";"2020-04-05";"15:23"
"Phil Collins";"One More Night";"2020-04-05";"15:15"
"Vianney";"Moi Aimer Toi";"2020-04-05";"15:12"
"Kendji Girac";"Tu Vas Manquer";"2020-04-05";"15:04"
"Peter Kingsberry";"Only The Very Best";"2020-04-05";"14:51"
"Tina Turner";"What's Love Got To Do With It";"2020-04-05";"14:44"
"Zazie";"Zen";"2020-04-05";"14:37"
"Justin Timberlake";"Cry Me A River";"2020-04-05";"14:33"
"Patrick Bruel";"Casser La Voix";"2020-04-05";"14:29"
"Adele";"Hello";"2020-04-05";"14:21"
"Niagara";"Je Dois M'en Aller";"2020-04-05";"14:17"
"Mika";"Elle Me Dit";"2020-04-05";"14:11"
"Cyndi Lauper";"True Colors";"2020-04-05";"14:07"
"Janet Jackson";"Whoops Now";"2020-04-05";"14:01"
"Mike And The Mechanics";"Over My Shoulder";"2020-04-05";"13:52"
"Gregory Lemarchal";"De Temps En Temps";"2020-04-05";"13:48"
"Michael Sembello";"Maniac";"2020-04-05";"13:44"
"Ed Sheeran";"Perfect";"2020-04-05";"13:41"
"Mylene Farmer";"Desenchantee";"2020-04-05";"13:37"
"Jean-Jacques Goldman";"Encore Un Matin";"2020-04-05";"13:30"
"Britney Spears";"Oops I Did It Again";"2020-04-05";"13:23"
"Ub 40";"Kingston Town";"2020-04-05";"13:15"
"Katy Perry";"Chained To The Rhythm";"2020-04-05";"13:11"
"Mecano";"Hijo De La Luna";"2020-04-05";"13:07"
