"artist";"title"
"Justin Bieber";"Sorry (Feat. Skrillex & Blood)"
"Louane";"Je Vole"
"Queen";"Bohemian Rhapsody"
"Sinead O'connor";"Nothing Compares To You"
"Michel Berger";"Chanter Pour Ceux Qui Sont Loin De Chez Eux"
"Marina Kaye";"Homeless"
"Madonna";"Frozen"
"R.e.m.";"Everybody Hurts"
"Pascal Obispo Et Zazie";"Les Meilleurs Ennemis"
"Christophe Mae";"Les Gens"
"Elton John";"Nikita"
"Beverly Craven";"Promise Me"
"Garou Et Celine Dion";"Sous Le Vent"
"The Belle Stars";"Sign Of The Times"
"Charlie Puth Feat. Selena";"We Don't Talk Anymore"
"Colbie Caillat";"Bubbly"
"Shakira";"La Tortura (Latino Edit)"
"The Weeknd";"In Your Eyes"
"Julien Dore";"Chou Wasabi"
"Florent Pagny";"Savoir Aimer"
"Jason Derulo";"Want To Want Me"
"George Michael";"Faith"
"Tina Arena";"Aller Plus Haut"
"Celine Dion";"J'irai Ou Tu Iras"
"Maroon 5";"Moves Like Jagger"
"Lara Fabian";"J'y Crois Encore"
"Shakira";"Waka Waka"
"Garou";"Belle"
"Prince";"Kiss"
"One Republic";"Apologize"
"Sting & Eric Clapton";"It's Probably Me"
"Mylene Farmer";"Ainsi Soit Je"
"Bee Gees";"How Deep Is Your Love"
"Celine Dion";"All By Myself"
"Gino Vannelli";"Hurts To Be In Love"
"Teri Moise";"Je Serai La"
"Claudio Capeo";"Riche"
"Adrian Gurvitz";"Classic"
"Robbie Williams";"Advertising Space"
"Lenny Kravitz";"I Belong To You"
"Vanessa Paradis";"Dis Lui Toi Que Je T'aime"
"Plain White T's";"Hey There Delilah"
"Zazie";"Sur Toi"
"James Blunt";"You're Beautiful"
"Everything But The Girl";"Missing"
"Lukas Graham";"Scars"
"Boulevard Des Airs";"Vian"
"The Faim";"Summer Is A Curse"
"Bb Brunes";"Coups Et Blessures"
"Les Frangines";"Donnez Moi"
"Whitney Houston";"I Have Nothing"
"Stromae";"Alors On Danse"
"Marina Kaye";"The Whole 9"
"Emeli Sande";"Read All About It"
"Sting";"Russians"
"Terence Trent D'arby";"Sign Your Name"
"George Michael";"A Different Corner"
"Madonna";"Don't Cry For Me Argentina"
"Renaud";"Morgane De Toi (Amoureux De Toi)"
"Jean-Jacques Goldman";"Elle Ne Me Voit Pas"
"Hozier";"Take Me To Church"
"France Gall";"Cezanne Peint"
"Kajagoogoo";"Too Shy"
"Dua Lipa";"Break My Heart"
"Imany";"Don't Be So Shy (Remix)"
"Michel Telo";"Ai Se Eu Te Pego"
"Kungs";"Don't You Know"
"Bryan Adams";"Please Forgive Me"
"Zazie";"Rue De La Paix"
"Pink";"Family Portrait"
"Shakira";"Underneath Your Clothes"
"Tears For Fears";"Woman In Chains"
"Black";"Wonderful Life"
"Florent Pagny";"Chatelet Les Halles"
"Alain Souchon";"Somerset Maugham"
"Texas";"Say What You Want"
"Claudio Capeo";"Ta Main"
"Helene Segara";"Il Y A Trop De Gens Qui T'aiment"
"Beyonce";"Naughty Girls"
"Kool And The Gang";"Cherish"
"Celine Dion";"Because You Loved Me"
"Ed Sheeran";"Photograph"
"Norah Jones";"Sunrise"
"Daniel Balavoine";"Tous Les Cris Les S.o.s"
"Laurent Voulzy";"My Song Of You"
"Phil Collins";"A Groovy Kind Of Love"
"Alain Souchon";"Le Baiser"
"Zazie";"Homme Sweet Homme"
"Elton John";"Song For Guy"
"Barbra Streisand";"Woman In Love"
"Phil Collins";"Can't Turn Back The Years"
"Calvin Harris & Dua Lipa";"One Kiss"
"Sia";"Cheap Thrills"
"Sia & David Guetta";"Flames"
"Christine & The Queens";"Christine"
"Justin Nozuka / Zaho";"Heartless"
